ep : ,1,    ,ep_step : ,33,    ,state : ,71483.842317,-8.192338,-25324.870567,0.865497,0.000443,5.582222,    ,"ecc,a,inc:",0.865497,51091.817905,20.74896,    ,"Reward,score : ",-0.003,82.8852,    ,    ,Normalized_State: ,0.551402,-6.3e-05,-0.195347,0.865497,0.000443,0.888438,    ,    ,action_values : ,-2.416236,0.4143,0.0,    ,    ,Mass : ,1198.5822491618708,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,34,    ,state : ,71483.842317,-8.192338,-25324.870567,0.865497,0.000443,5.756667,    ,"ecc,a,inc:",0.865497,51091.817905,20.74896,    ,"Reward,score : ",-0.003,82.8822,    ,    ,Normalized_State: ,0.551402,-6.3e-05,-0.195347,0.865497,0.000443,0.916202,    ,    ,action_values : ,-2.071088,0.2615,0.0,    ,    ,Mass : ,1198.5822491618708,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,35,    ,state : ,71483.842317,-8.192338,-25324.870567,0.865497,0.000443,5.931111,    ,"ecc,a,inc:",0.865497,51091.817905,20.74896,    ,"Reward,score : ",-0.003,82.8792,    ,    ,Normalized_State: ,0.551402,-6.3e-05,-0.195347,0.865497,0.000443,0.943966,    ,    ,action_values : ,-1.513384,0.2266,0.0,    ,    ,Mass : ,1198.5822491618708,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,36,    ,state : ,71483.842317,-8.192338,-25324.870567,0.865497,0.000443,6.105556,    ,"ecc,a,inc:",0.865497,51091.817905,20.74896,    ,"Reward,score : ",-0.003,82.8762,    ,    ,Normalized_State: ,0.551402,-6.3e-05,-0.195347,0.865497,0.000443,0.971729,    ,    ,action_values : ,-1.675834,0.156,0.0,    ,    ,Mass : ,1198.5822491618708,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,37,    ,state : ,71483.842317,-8.192338,-25324.870567,0.865497,0.000443,0.0,    ,"ecc,a,inc:",0.865497,51091.817905,20.74896,    ,"Reward,score : ",-0.003,82.8732,    ,    ,Normalized_State: ,0.551402,-6.3e-05,-0.195347,0.865497,0.000443,0.0,    ,    ,action_values : ,3.107428,-0.1199,0.0,    ,    ,Mass : ,1198.5822491618708,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,38,    ,state : ,71483.842317,-8.192338,-25324.870567,0.865497,0.000443,0.174444,    ,"ecc,a,inc:",0.865497,51091.817905,20.74896,    ,"Reward,score : ",-0.003,82.8702,    ,    ,Normalized_State: ,0.551402,-6.3e-05,-0.195347,0.865497,0.000443,0.027764,    ,    ,action_values : ,2.947098,-0.2978,0.0,    ,    ,Mass : ,1198.5822491618708,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,39,    ,state : ,71483.842317,-8.192338,-25324.870567,0.865497,0.000443,0.348889,    ,"ecc,a,inc:",0.865497,51091.817905,20.74896,    ,"Reward,score : ",-0.003,82.8672,    ,    ,Normalized_State: ,0.551402,-6.3e-05,-0.195347,0.865497,0.000443,0.055527,    ,    ,action_values : ,2.862222,0.1596,0.0,    ,    ,Mass : ,1198.5822491618708,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,40,    ,state : ,71483.842317,-8.192338,-25324.870567,0.865497,0.000443,0.523333,    ,"ecc,a,inc:",0.865497,51091.817905,20.74896,    ,"Reward,score : ",-0.003,82.8642,    ,    ,Normalized_State: ,0.551402,-6.3e-05,-0.195347,0.865497,0.000443,0.083291,    ,    ,action_values : ,3.023468,0.0342,0.0,    ,    ,Mass : ,1198.5822491618708,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,41,    ,state : ,71483.842317,-8.192338,-25324.870567,0.865497,0.000443,0.697778,    ,"ecc,a,inc:",0.865497,51091.817905,20.74896,    ,"Reward,score : ",-0.003,82.8612,    ,    ,Normalized_State: ,0.551402,-6.3e-05,-0.195347,0.865497,0.000443,0.111055,    ,    ,action_values : ,2.902829,-0.0987,0.0,    ,    ,Mass : ,1198.5822491618708,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,42,    ,state : ,71483.842317,-8.192338,-25324.870567,0.865497,0.000443,0.872222,    ,"ecc,a,inc:",0.865497,51091.817905,20.74896,    ,"Reward,score : ",-0.003,82.8582,    ,    ,Normalized_State: ,0.551402,-6.3e-05,-0.195347,0.865497,0.000443,0.138818,    ,    ,action_values : ,2.338854,0.2855,0.0,    ,    ,Mass : ,1198.5822491618708,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
