ep : ,1,    ,ep_step : ,43,    ,state : ,129700.223561,232.521324,-41.788767,0.000582,0.001245,3.911044,    ,"ecc,a,inc:",0.001374,42203.111582,0.104233,    ,"Reward,score : ",-0.0003,-0.0008,    ,    ,Normalized_State: ,1.000463,0.001794,-0.000322,0.000582,0.001245,0.622462,    ,    ,action_values : ,1.985531,1.5488,0.0003,    ,    ,Mass : ,1033.4568061792652,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,44,    ,state : ,129700.220336,232.267841,-41.527528,0.000583,0.001245,3.912789,    ,"ecc,a,inc:",0.001375,42203.073173,0.104104,    ,"Reward,score : ",0.001,0.0002,    ,    ,Normalized_State: ,1.000463,0.001792,-0.00032,0.000583,0.001245,0.62274,    ,    ,action_values : ,2.973718,1.4052,0.0003,    ,    ,Mass : ,1033.4563831801788,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,45,    ,state : ,129700.161168,232.017213,-41.270217,0.000583,0.001245,3.914533,    ,"ecc,a,inc:",0.001375,42203.073241,0.103973,    ,"Reward,score : ",-0.0006,-0.0004,    ,    ,Normalized_State: ,1.000463,0.00179,-0.000318,0.000583,0.001245,0.623017,    ,    ,action_values : ,-1.566861,1.5054,0.0003,    ,    ,Mass : ,1033.4559601802746,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,46,    ,state : ,129700.161262,231.763306,-41.010357,0.000583,0.001245,3.916278,    ,"ecc,a,inc:",0.001375,42203.054992,0.103843,    ,"Reward,score : ",0.0002,-0.0002,    ,    ,Normalized_State: ,1.000463,0.001788,-0.000316,0.000583,0.001245,0.623295,    ,    ,action_values : ,3.083076,1.4934,0.0003,    ,    ,Mass : ,1033.4555371795575,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,47,    ,state : ,129700.133149,231.509113,-40.751153,0.000583,0.001246,3.918022,    ,"ecc,a,inc:",0.001376,42203.046083,0.103712,    ,"Reward,score : ",-0.0001,-0.0003,    ,    ,Normalized_State: ,1.000463,0.001786,-0.000314,0.000583,0.001246,0.623573,    ,    ,action_values : ,-3.11547,1.5331,0.0003,    ,    ,Mass : ,1033.4551141780835,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,48,    ,state : ,129700.119424,231.253911,-40.491804,0.000584,0.001246,3.919767,    ,"ecc,a,inc:",0.001376,42203.037304,0.103581,    ,"Reward,score : ",-0.0001,-0.0003,    ,    ,Normalized_State: ,1.000463,0.001784,-0.000312,0.000584,0.001246,0.62385,    ,    ,action_values : ,-3.111643,1.5336,0.0003,    ,    ,Mass : ,1033.4546911758325,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,49,    ,state : ,129700.105899,230.99825,-40.232895,0.000584,0.001246,3.921511,    ,"ecc,a,inc:",0.001378,42202.898101,0.10357,    ,"Reward,score : ",0.0041,0.0037,    ,    ,Normalized_State: ,1.000462,0.001782,-0.00031,0.000584,0.001246,0.624128,    ,    ,action_values : ,2.202694,0.0833,0.0003,    ,    ,Mass : ,1033.4542681728321,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,50,    ,state : ,129699.891582,230.976535,-40.211298,0.000588,0.001247,3.923256,    ,"ecc,a,inc:",0.001378,42202.896998,0.103439,    ,"Reward,score : ",-0.0003,0.0034,    ,    ,Normalized_State: ,1.000461,0.001782,-0.00031,0.000588,0.001247,0.624406,    ,    ,action_values : ,3.13067,1.5661,0.0003,    ,    ,Mass : ,1033.4538451688945,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,51,    ,state : ,129699.889882,230.719817,-39.953107,0.000588,0.001247,3.925,    ,"ecc,a,inc:",0.001379,42202.880728,0.103308,    ,"Reward,score : ",0.0002,0.0036,    ,    ,Normalized_State: ,1.000461,0.00178,-0.000308,0.000588,0.001247,0.624683,    ,    ,action_values : ,-3.140989,1.5019,0.0003,    ,    ,Mass : ,1033.4534221637728,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,52,    ,state : ,129699.864817,230.463214,-39.695966,0.000588,0.001247,3.926744,    ,"ecc,a,inc:",0.001379,42202.883714,0.103247,    ,"Reward,score : ",-0.0043,-0.0007,    ,    ,Normalized_State: ,1.000461,0.001778,-0.000306,0.000588,0.001247,0.624961,    ,    ,action_values : ,-1.557039,0.4777,0.0003,    ,    ,Mass : ,1033.4529991579159,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,53,    ,state : ,129699.869265,230.344776,-39.577669,0.000586,0.001249,3.928489,    ,"ecc,a,inc:",0.001379,42202.879183,0.103116,    ,"Reward,score : ",-0.0002,-0.0009,    ,    ,Normalized_State: ,1.000461,0.001777,-0.000305,0.000586,0.001249,0.625238,    ,    ,action_values : ,-2.821394,1.5506,0.0003,    ,    ,Mass : ,1033.4525761514155,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
