ep : ,1,    ,ep_step : ,33,    ,state : ,67555.604944,-12.685438,-30341.714864,0.72904,0.000285,5.582222,    ,"ecc,a,inc:",0.72904,24438.491426,26.688324,    ,"Reward,score : ",-0.003,14.9697,    ,    ,Normalized_State: ,0.521101,-9.8e-05,-0.234046,0.72904,0.000285,0.888438,    ,    ,action_values : ,0.297517,-0.7068,0.0,    ,    ,Mass : ,449.77322783596713,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,34,    ,state : ,67555.604944,-12.685438,-30341.714864,0.72904,0.000285,5.756667,    ,"ecc,a,inc:",0.72904,24438.491426,26.688324,    ,"Reward,score : ",-0.003,14.9667,    ,    ,Normalized_State: ,0.521101,-9.8e-05,-0.234046,0.72904,0.000285,0.916202,    ,    ,action_values : ,0.634726,-0.8724,0.0,    ,    ,Mass : ,449.77322783596713,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,35,    ,state : ,67555.604944,-12.685438,-30341.714864,0.72904,0.000285,5.931111,    ,"ecc,a,inc:",0.72904,24438.491426,26.688324,    ,"Reward,score : ",-0.003,14.9637,    ,    ,Normalized_State: ,0.521101,-9.8e-05,-0.234046,0.72904,0.000285,0.943966,    ,    ,action_values : ,0.871341,-0.907,0.0,    ,    ,Mass : ,449.77322783596713,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,36,    ,state : ,67555.604944,-12.685438,-30341.714864,0.72904,0.000285,6.105556,    ,"ecc,a,inc:",0.72904,24438.491426,26.688324,    ,"Reward,score : ",-0.003,14.9607,    ,    ,Normalized_State: ,0.521101,-9.8e-05,-0.234046,0.72904,0.000285,0.971729,    ,    ,action_values : ,0.793213,-0.9612,0.0,    ,    ,Mass : ,449.77322783596713,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,37,    ,state : ,67555.604944,-12.685438,-30341.714864,0.72904,0.000285,0.0,    ,"ecc,a,inc:",0.72904,24438.491426,26.688324,    ,"Reward,score : ",-0.003,14.9577,    ,    ,Normalized_State: ,0.521101,-9.8e-05,-0.234046,0.72904,0.000285,0.0,    ,    ,action_values : ,0.746739,0.5227,0.0,    ,    ,Mass : ,449.77322783596713,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,38,    ,state : ,67555.604944,-12.685438,-30341.714864,0.72904,0.000285,0.174444,    ,"ecc,a,inc:",0.72904,24438.491426,26.688324,    ,"Reward,score : ",-0.003,14.9547,    ,    ,Normalized_State: ,0.521101,-9.8e-05,-0.234046,0.72904,0.000285,0.027764,    ,    ,action_values : ,0.443066,0.1618,0.0,    ,    ,Mass : ,449.77322783596713,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,39,    ,state : ,67555.604944,-12.685438,-30341.714864,0.72904,0.000285,0.348889,    ,"ecc,a,inc:",0.72904,24438.491426,26.688324,    ,"Reward,score : ",-0.003,14.9517,    ,    ,Normalized_State: ,0.521101,-9.8e-05,-0.234046,0.72904,0.000285,0.055527,    ,    ,action_values : ,0.758579,0.4085,0.0,    ,    ,Mass : ,449.77322783596713,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,40,    ,state : ,67555.604944,-12.685438,-30341.714864,0.72904,0.000285,0.523333,    ,"ecc,a,inc:",0.72904,24438.491426,26.688324,    ,"Reward,score : ",-0.003,14.9487,    ,    ,Normalized_State: ,0.521101,-9.8e-05,-0.234046,0.72904,0.000285,0.083291,    ,    ,action_values : ,1.399996,-0.0969,0.0,    ,    ,Mass : ,449.77322783596713,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,41,    ,state : ,67555.604944,-12.685438,-30341.714864,0.72904,0.000285,0.697778,    ,"ecc,a,inc:",0.72904,24438.491426,26.688324,    ,"Reward,score : ",-0.003,14.9457,    ,    ,Normalized_State: ,0.521101,-9.8e-05,-0.234046,0.72904,0.000285,0.111055,    ,    ,action_values : ,1.123797,-0.7642,0.0,    ,    ,Mass : ,449.77322783596713,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,42,    ,state : ,67555.604944,-12.685438,-30341.714864,0.72904,0.000285,0.872222,    ,"ecc,a,inc:",0.72904,24438.491426,26.688324,    ,"Reward,score : ",-0.003,14.9427,    ,    ,Normalized_State: ,0.521101,-9.8e-05,-0.234046,0.72904,0.000285,0.138818,    ,    ,action_values : ,0.711324,-0.6447,0.0,    ,    ,Mass : ,449.77322783596713,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
